config,rank,job_id,board_token,source,title,location,url,updated_at,cluster_company,cluster_title,cluster_size,sibling_job_ids,desc_chars,encoder_score,rerank_score_wide,rerank_score_refined,rerank_stage,rank_score,rank_score_kind,wide_rank,run_id,pool_n,pool_sha,code_sha,profile_sha
cascade-17m-68m,1,R1127015,dentsuaegis|wd3|dan_global,workday,Data & AI Engineer,DGS India - Bengaluru - Manyata N1 Block,https://dentsuaegis.wd3.myworkdayjobs.com/dan_global/job/DGS-India---Bengaluru---Manyata-N1-Block/Data-Science---AI-Engineer_R1127015-1,2026-07-21T18:17:13.377147+00:00,dentsuaegis|wd3|dan_global,data & ai engineer,1,,1333,0.8021395206451416,8.2890625,9.234375,refined,9.234375,68m_logit,4,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,2,R184217,maersk|wd3|maersk_careers,workday,Software Engineer - Dot Net,"India, Bengaluru, 560064",https://maersk.wd3.myworkdayjobs.com/maersk_careers/job/India-Bengaluru-560064/Software-Engineer---Dot-Net_R184217,2026-07-21T18:41:53.507717+00:00,maersk|wd3|maersk_careers,software engineer - dot net,1,,4129,0.7177788615226746,8.578125,8.8359375,refined,8.8359375,68m_logit,2,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,3,8075011,babelstreet,greenhouse,Software Engineer,"Somerville, Massachusetts, United States",https://job-boards.greenhouse.io/babelstreet/jobs/8075011,2026-07-20T14:16:29-04:00,babelstreet,software engineer,1,,7525,0.9999998211860657,6.8984375,8.65625,refined,8.65625,68m_logit,101,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,4,4715753005,globalhealthcareexchangeinc,greenhouse,Software Engineer III,"Hyderabad, Telangana, India",https://job-boards.greenhouse.io/globalhealthcareexchangeinc/jobs/4715753005,2026-07-21T03:01:10-04:00,globalhealthcareexchangeinc,software engineer iii,1,,7936,0.835830807685852,7.84765625,8.5234375,refined,8.5234375,68m_logit,11,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,5,RQ112661,bpinternational|wd3|bpcareers,workday,Software engineer,India - Pune,https://bpinternational.wd3.myworkdayjobs.com/bpcareers/job/India---Pune/Software-engineer_RQ112661,2026-07-21T17:57:15.584290+00:00,bpinternational|wd3|bpcareers,software engineer,1,,3933,0.9999997615814209,8.3828125,8.265625,refined,8.265625,68m_logit,3,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,6,5309141008,procaresolutions,greenhouse,Software Engineer,"Denver, CO; Atlanta, GA ",https://job-boards.greenhouse.io/procaresolutions/jobs/5309141008,2026-07-21T11:51:17-04:00,procaresolutions,software engineer,1,,8305,0.9999998211860657,8.0625,8.2265625,refined,8.2265625,68m_logit,8,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,7,8068087,storyblocks,greenhouse,Platforms Engineer,"Arlington, VA or Remote",https://job-boards.greenhouse.io/storyblocks/jobs/8068087,2026-07-21T13:46:29-04:00,storyblocks,platforms engineer,1,,8363,0.5820868015289307,9.4375,7.828125,refined,7.828125,68m_logit,1,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,8,7235322,mongodb,greenhouse,"Software Engineer 3, Search Systems Replication & Routing",San Francisco,https://www.mongodb.com/careers/job/?gh_jid=7235322,2026-07-21T10:26:00-04:00,mongodb,"software engineer 3, search systems replication & routing",1,,5421,0.3780256509780884,8.1875,7.73046875,refined,7.73046875,68m_logit,7,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,9,7775271003,oddball,greenhouse,Back End Engineer,Remote,https://job-boards.greenhouse.io/oddball/jobs/7775271003,2026-07-20T14:54:52-04:00,oddball,back end engineer,1,,3598,0.8809669017791748,8.265625,7.6796875,refined,7.6796875,68m_logit,6,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,10,5430088004,vercel,greenhouse,"Software Engineer, Backend",Remote - United States,https://job-boards.greenhouse.io/vercel/jobs/5430088004,2026-07-20T19:13:52-04:00,vercel,"software engineer, backend",1,,4119,0.8705725073814392,7.48046875,7.59765625,refined,7.59765625,68m_logit,31,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,11,7803020003,verisign,greenhouse,Java Software Engineer,"Reston,Virginia,United States",https://job-boards.greenhouse.io/verisign/jobs/7803020003,2026-07-21T12:01:07-04:00,verisign,java software engineer,1,,6149,0.7096642255783081,7.63671875,7.48828125,refined,7.48828125,68m_logit,20,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,12,5caff613-773d-466d-9876-cd803811d30b,skyflow,ashby,Software Engineer,United States,https://jobs.ashbyhq.com/skyflow/5caff613-773d-466d-9876-cd803811d30b,2026-07-21T13:33:00.526000+00:00,skyflow,software engineer,1,,3672,0.9999998211860657,6.33984375,7.46484375,refined,7.46484375,68m_logit,238,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,13,7523834,mongodb,greenhouse,"Software Engineer, Data Migration",California; Oregon; Washington,https://www.mongodb.com/careers/job/?gh_jid=7523834,2026-07-21T10:26:00-04:00,mongodb,"software engineer, data migration",1,,7532,0.5524953603744507,6.8671875,7.4140625,refined,7.4140625,68m_logit,107,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,14,7843774,redventures,greenhouse,Software Engineer | Growth & Transformation,"Charlotte, NC; New York, NY",https://www.redventures.com/careers/positions/open?gh_jid=7843774,2026-07-20T16:24:06-04:00,redventures,software engineer | growth & transformation,1,,9197,0.6725902557373047,7.19921875,7.37890625,refined,7.37890625,68m_logit,57,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,15,6115695004,turing,greenhouse,Software Engineer,India - Remote,https://job-boards.greenhouse.io/turing/jobs/6115695004,2026-07-20T20:30:21-04:00,turing,software engineer,1,,4279,0.9999998211860657,6.34765625,7.2421875,refined,7.2421875,68m_logit,234,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,16,7810449003,oddball,greenhouse,DevOps Engineer,Remote,https://job-boards.greenhouse.io/oddball/jobs/7810449003,2026-07-20T19:07:17-04:00,oddball,devops engineer,1,,3285,0.6478709578514099,7.734375,7.078125,refined,7.078125,68m_logit,15,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,17,5063929007,xai,greenhouse,Software Engineer– X Core Product,"Palo Alto, CA",https://job-boards.greenhouse.io/xai/jobs/5063929007,2026-07-20T16:42:59-04:00,xai,software engineer– x core product,1,,2767,0.5644785165786743,6.01953125,6.99609375,refined,6.99609375,68m_logit,387,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,18,4674621006,accenturefederalservices,greenhouse,AI/ML Engineer,"Arlington, VA",https://boards.greenhouse.io/accenturefederalservices/jobs/4674621006?gh_jid=4674621006,2026-07-20T17:10:33-04:00,accenturefederalservices,ai/ml engineer,2,4608162006,7542,0.9861341118812561,6.7421875,6.9765625,refined,6.9765625,68m_logit,127,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,19,5633880004,vercel,greenhouse,"Software Engineer, Deployment Infrastructure","Hybrid - San Francisco, New York City",https://job-boards.greenhouse.io/vercel/jobs/5633880004,2026-07-20T19:13:52-04:00,vercel,"software engineer, deployment infrastructure",1,,5481,0.5614310503005981,7.23046875,6.9375,refined,6.9375,68m_logit,49,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,20,8632433002,moon,greenhouse,"Full-Stack Engineer - Generalist (Contract, Palo Alto)","Palo Alto, California, United States",https://job-boards.greenhouse.io/moon/jobs/8632433002,2026-07-20T22:03:31-04:00,moon,full-stack engineer - generalist,1,,3134,0.5745256543159485,6.44921875,6.92578125,refined,6.92578125,68m_logit,195,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,21,4643328006,accenturefederalservices,greenhouse,Big Data Analytic Developer - Full Stack ,"Annapolis Junction, MD",https://boards.greenhouse.io/accenturefederalservices/jobs/4643328006?gh_jid=4643328006,2026-07-20T16:29:22-04:00,accenturefederalservices,big data analytic developer - full stack,1,,7490,0.5561623573303223,8.2734375,6.87109375,refined,6.87109375,68m_logit,5,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,22,4609681006,accenturefederalservices,greenhouse,Software Engineer,"Reston, VA",https://boards.greenhouse.io/accenturefederalservices/jobs/4609681006?gh_jid=4609681006,2026-07-20T16:29:22-04:00,accenturefederalservices,software engineer,5,4609686006;4680117006;4689027006;4689886006,7557,0.9999997615814209,7.27734375,6.87109375,refined,6.87109375,68m_logit,46,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
cascade-17m-68m,23,0ca9484b-5eb3-45c2-9ea6-64c3f8144a3a,spreetail,lever,Software Engineer II,India,https://jobs.lever.co/spreetail/0ca9484b-5eb3-45c2-9ea6-64c3f8144a3a,2026-07-21T14:22:53.297000+00:00,spreetail,software engineer ii,1,,1745,0.8323724269866943,6.75,6.859375,refined,6.859375,68m_logit,125,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
