config,rank,job_id,board_token,source,title,location,url,updated_at,cluster_company,cluster_title,cluster_size,sibling_job_ids,desc_chars,encoder_score,rerank_score_wide,rerank_score_refined,rerank_stage,rank_score,rank_score_kind,wide_rank,run_id,pool_n,pool_sha,code_sha,profile_sha
minilm-controlled,1,4851158101,nice,greenhouse,Forward Deployed Engineer,Australia - Remote,https://boards.eu.greenhouse.io/nice/jobs/4851158101?gh_jid=4851158101,2026-07-21T04:25:02-04:00,nice,forward deployed engineer,1,,5664,1.0000003576278687,,,,1.0000003576278687,minilm_title_cosine,2,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
minilm-controlled,2,4698580006,eulerity,greenhouse,Forward Deployed Engineer,"New York, NY",https://job-boards.greenhouse.io/eulerity/jobs/4698580006,2026-07-20T22:38:29-04:00,eulerity,forward deployed engineer,1,,3074,1.0000003576278687,,,,1.0000003576278687,minilm_title_cosine,1,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
minilm-controlled,3,c6d119df-b5e3-4d94-8a4f-22d5040a0924,thought-machine,ashby,Forward Deployed Engineer ,"United States, New York, New York City",https://jobs.ashbyhq.com/thought-machine/c6d119df-b5e3-4d94-8a4f-22d5040a0924,2026-07-21T10:25:42.331000+00:00,thought-machine,forward deployed engineer,1,,6624,1.000000238418579,,,,1.000000238418579,minilm_title_cosine,16,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
minilm-controlled,4,8526776002,workato,greenhouse,Forward Deployed Engineer,"Hyderabad, India",https://www.workato.com/careers?gh_jid=8526776002#open-roles,2026-07-20T21:51:52-04:00,workato,forward deployed engineer,7,8437639002;8437661002;8437665002;8437707002;8440865002;8526757002,7125,1.000000238418579,,,,1.000000238418579,minilm_title_cosine,15,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
minilm-controlled,5,8282400002,gotion,greenhouse,Machine Learning Engineer,"Manteno, Illinois",https://job-boards.greenhouse.io/gotion/jobs/8282400002,2026-07-21T12:34:56-04:00,gotion,machine learning engineer,2,8282660002,4756,1.000000238418579,,,,1.000000238418579,minilm_title_cosine,7,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
minilm-controlled,6,7955995,roku,greenhouse,Machine Learning Engineer,"Bengaluru, India",https://www.weareroku.com/jobs/7955995?gh_jid=7955995,2026-07-21T12:01:41-04:00,roku,machine learning engineer,1,,6122,1.000000238418579,,,,1.000000238418579,minilm_title_cosine,6,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
minilm-controlled,7,7619114003,nearform,greenhouse,Forward Deployed Engineer,United States,https://job-boards.greenhouse.io/nearform/jobs/7619114003,2026-07-21T07:21:25-04:00,nearform,forward deployed engineer,1,,5969,1.000000238418579,,,,1.000000238418579,minilm_title_cosine,5,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
minilm-controlled,8,5984207004,workstream,greenhouse,Forward Deployed Engineer ,"Menlo Park, California",https://job-boards.greenhouse.io/workstream/jobs/5984207004,2026-07-21T00:51:02-04:00,workstream,forward deployed engineer,1,,7832,1.000000238418579,,,,1.000000238418579,minilm_title_cosine,4,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
minilm-controlled,9,5829711004,diligentcorporation,greenhouse,Forward Deployed Engineer  ,"New York, New York, United States",https://job-boards.greenhouse.io/diligentcorporation/jobs/5829711004,2026-07-21T05:42:40-04:00,diligentcorporation,forward deployed engineer,1,,8872,1.000000238418579,,,,1.000000238418579,minilm_title_cosine,3,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
minilm-controlled,10,7491153,samsara,greenhouse,AI Engineer,Remote - US,https://www.samsara.com/company/careers/roles/7491153?gh_jid=7491153,2026-07-21T04:32:16-04:00,samsara,ai engineer,2,7589442,9085,1.0,,,,1.0,minilm_title_cosine,25,2026-07-21T17-43-52Z,6267,6d9d90f4bc966fae,4a866f4fc9b8b9a0,c1a77e7a5218a295
